表1
列1	列2	列3	列4	列5	
MTND4P14	MT-ND4 pseudogene 14			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 14	
MTND4P15	MT-ND4 pseudogene 15			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 15	
MTND4P16	MT-ND4 pseudogene 16			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 16	
MTND4P17	MT-ND4 pseudogene 17			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 17	
MTND4P18	MT-ND4 pseudogene 18			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 18	
MTND4P19	MT-ND4 pseudogene 19			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 19	
MTND4P20	MT-ND4 pseudogene 20			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 20	
MTND4P21	MT-ND4 pseudogene 21			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 21	
MTND4P22	MT-ND4 pseudogene 22			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 22	
MTND4P23	MT-ND4 pseudogene 23			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 23	
MTND4P24	MT-ND4 pseudogene 24			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 24	
MTND4P25	MT-ND4 pseudogene 25			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 25	
MTND4P26	MT-ND4 pseudogene 26			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 26	
MTND4P27	MT-ND4 pseudogene 27			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 27	
MTND4P28	MT-ND4 pseudogene 28			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 28	
MTND4P29	MT-ND4 pseudogene 29			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 29	
MTND4P30	MT-ND4 pseudogene 30			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 30	
MTND4P31	MT-ND4 pseudogene 31			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 31	
MTND4P32	MT-ND4 pseudogene 32			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 32	
MTND4P33	MT-ND4 pseudogene 33			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 33	
MTND4P34	MT-ND4 pseudogene 34			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 34	
MTND4P35	MT-ND4 pseudogene 35			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 35	
MTND4P36	MT-ND4 pseudogene 36			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 36	
MTND4P37	MT-ND4 pseudogene 37			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 37	
MTND4P38	MT-ND4 pseudogene 38			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 38	
MTND4P39	MT-ND4 pseudogene 39			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 39	
MTND4P40	MT-ND4 pseudogene 40			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 40	
MTND4P41	MT-ND4 pseudogene 41			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 41	
MTND5P1	MT-ND5 pseudogene 1			"MTND5 pseudogene 1, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 1"""	
MTND5P2	MT-ND5 pseudogene 2			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 2	
MTND5P3	MT-ND5 pseudogene 3			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 3	
MTND5P4	MT-ND5 pseudogene 4			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 4	
MTND5P5	MT-ND5 pseudogene 5			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 5	
MTND5P6	MT-ND5 pseudogene 6			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 6	
MTND5P7	MT-ND5 pseudogene 7			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 7	
MTND5P8	MT-ND5 pseudogene 8			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 8	
MTND5P9	MT-ND5 pseudogene 9			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 9	
MTND5P10	MT-ND5 pseudogene 10			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 10	
MTND5P11	MT-ND5 pseudogene 11			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 11	
MTND5P12	MT-ND5 pseudogene 12			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 12	
MTND5P13	MT-ND5 pseudogene 13			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 13	
MTND5P14	MT-ND5 pseudogene 14			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 14	
MTND5P15	MT-ND5 pseudogene 15			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 15	
MTND5P16	MT-ND5 pseudogene 16			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 16	
MTND5P17	MT-ND5 pseudogene 17			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 17	
MTND5P18	MT-ND5 pseudogene 18			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 18	
MTND5P19	MT-ND5 pseudogene 19			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 19	
MTND5P20	MT-ND5 pseudogene 20			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 20	
MTND5P21	MT-ND5 pseudogene 21			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 21	
MTND5P22	MT-ND5 pseudogene 22			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 22	
MTND5P23	MT-ND5 pseudogene 23			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 23	
MTND5P24	MT-ND5 pseudogene 24			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 24	
MTND5P25	MT-ND5 pseudogene 25			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 25	
MTND5P26	MT-ND5 pseudogene 26			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 26	
MTND5P27	MT-ND5 pseudogene 27			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 27	
MTND5P28	MT-ND5 pseudogene 28			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 28	
MTND5P29	MT-ND5 pseudogene 29			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 29	
MTND5P30	MT-ND5 pseudogene 30			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 30	
MTND5P31	MT-ND5 pseudogene 31			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 31	
MTND5P32	MT-ND5 pseudogene 32			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 32	
MTND5P33	MT-ND5 pseudogene 33			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 33	
MTND5P34	MT-ND5 pseudogene 34			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 34	
MTND5P35	MT-ND5 pseudogene 35			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 35	
MTND5P36	MT-ND5 pseudogene 36			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 36	
MTND5P37	MT-ND5 pseudogene 37			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 37	
MTND5P38	MT-ND5 pseudogene 38			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 38	
MTND5P39	MT-ND5 pseudogene 39			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 39	
MTND5P40	MT-ND5 pseudogene 40			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 40	
MTND5P41	MT-ND5 pseudogene 41			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 41	
MTND5P42	MT-ND5 pseudogene 42			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 42	
MTND5P43	MT-ND5 pseudogene 43			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 43	
MTND5P44	MT-ND5 pseudogene 44			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 44	
MTND5P45	MT-ND5 pseudogene 45			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 45	
MTND5P46	MT-ND5 pseudogene 46			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 46	
MTND6P1	MT-ND6 pseudogene 1			"MTND6P1, ""MTND6 pseudogene 1"", ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 1"""	
MTND6P2	MT-ND6 pseudogene 2			"MTND6 pseudogene 2, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 2"""	
MTND6P3	MT-ND6 pseudogene 3			"MTND6 pseudogene 3, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 3"""	
MTND6P4	MT-ND6 pseudogene 4			"MTND6 pseudogene 4, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 4"""	
MTND6P5	MT-ND6 pseudogene 5			"MTND6 pseudogene 5, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 5"""	
MTND6P6	MT-ND6 pseudogene 6			"MTND6 pseudogene 6, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 6"""	
MTND6P7	MT-ND6 pseudogene 7			"MTND6 pseudogene 7, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 7"""	
MTND6P8	MT-ND6 pseudogene 8			"MTND6 pseudogene 8, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 8"""	
MTND6P9	MT-ND6 pseudogene 9			"MTND6 pseudogene 9, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 9"""	
MTND6P10	MT-ND6 pseudogene 10			"MTND6 pseudogene 10, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 10"""	
MTND6P11	MT-ND6 pseudogene 11			"MTND6 pseudogene 11, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 11"""	
MTND6P12	MT-ND6 pseudogene 12			"MTND6 pseudogene 12, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 12"""	
MTND6P13	MT-ND6 pseudogene 13			"MTND6 pseudogene 13, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 13"""	
MTND6P14	MT-ND6 pseudogene 14			"MTND6 pseudogene 14, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 14"""	
MTND6P15	MT-ND6 pseudogene 15			"MTND6 pseudogene 15, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 15"""	
MTND6P16	MT-ND6 pseudogene 16			"MTND6 pseudogene 16, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 16"""	
MTND6P17	MT-ND6 pseudogene 17			"MTND6 pseudogene 17, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 17"""	
MTND6P18	MT-ND6 pseudogene 18			"MTND6 pseudogene 18, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 18"""	
MTND6P19	MT-ND6 pseudogene 19			"MTND6 pseudogene 19, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 19"""	
MTND6P20	MT-ND6 pseudogene 20			"MTND6 pseudogene 20, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 20"""	
MTND6P21	MT-ND6 pseudogene 21			"MTND6 pseudogene 21, ""mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 21"""	
MTND6P22	MT-ND6 pseudogene 22			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 22	
MTND6P23	MT-ND6 pseudogene 23			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 23	
MTND6P24	MT-ND6 pseudogene 24			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 24	
MTND6P25	MT-ND6 pseudogene 25			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 25	
MTND6P26	MT-ND6 pseudogene 26			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 26	
MTND6P27	MT-ND6 pseudogene 27			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 27	
MTND6P28	MT-ND6 pseudogene 28			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 28	
MTND6P29	MT-ND6 pseudogene 29			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 29	
MTND6P30	MT-ND6 pseudogene 30			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 30	
MTND6P31	MT-ND6 pseudogene 31			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 31	
MTND6P32	MT-ND6 pseudogene 32			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 32	
MTND6P33	MT-ND6 pseudogene 33			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 33	
MTND6P34	MT-ND6 pseudogene 34			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 34	
MTND6P35	MT-ND6 pseudogene 35			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 35	
MTND6P36	MT-ND6 pseudogene 36			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 36	
MTND6P37	MT-ND6 pseudogene 37			mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 37	
MTNR1A	melatonin receptor 1A		MEL-1A-R		
MTNR1B	melatonin receptor 1B				
MTO1	mitochondrial tRNA translation optimization 1			mitochondrial translation optimization 1 homolog (S. cerevisiae)	
MTOHR	mitochondrially encoded heavy strand origin of replication			heavy strand origin of replication	
MTOLR	mitochondrially encoded light strand origin of replication			light strand origin of replication	
MTOR	mechanistic target of rapamycin kinase	"FRAP, FRAP2, FRAP1"	"RAFT1, RAPT1, FLJ44809"	"FK506 binding protein 12-rapamycin associated protein 1, ""mechanistic target of rapamycin (serine/threonine kinase)"", ""mechanistic target of rapamycin"""	
MTOR-AS1	MTOR antisense RNA 1			MTOR antisense RNA 1 (non-protein coding)	
MTPAP	mitochondrial poly(A) polymerase	PAPD1	"FLJ10486, mtPAP, SPAX4, TENT6"	PAP associated domain containing 1	
MTPN	myotrophin		"MYOTROPHIN, GCDP, V-1"		
MTR	5-methyltetrahydrofolate-homocysteine methyltransferase		cblG		
MTREX	Mtr4 exosome RNA helicase	"KIAA0052, SKIV2L2"	"Mtr4, Dob1, fSAP118"	"KIAA0052, ""superkiller viralicidic activity 2-like 2 (S. cerevisiae)"", ""Ski2 like RNA helicase 2"""	
MTRF1	mitochondrial translation release factor 1		"RF1, MTTRF1, MGC47721"	mitochondrial translational release factor 1	
MTRF1L	mitochondrial translational release factor 1 like		"HMRF1L, mtRF1a"	mitochondrial translational release factor 1-like	
MTRF1LP1	mitochondrial translational release factor 1 like pseudogene 1			mitochondrial translational release factor 1-like pseudogene 1	
MTRF1LP2	mitochondrial translational release factor 1 like pseudogene 2			mitochondrial translational release factor 1-like pseudogene 2	
MTRNR2L1	MT-RNR2 like 1				
MTRNR2L2	MT-RNR2 like 2				
MTRNR2L3	MT-RNR2 like 3				
MTRNR2L4	MT-RNR2 like 4			MT-RNR2-like 4	
MTRNR2L5	MT-RNR2 like 5				
MTRNR2L6	MT-RNR2 like 6				
MTRNR2L7	MT-RNR2 like 7				
MTRNR2L8	MT-RNR2 like 8				
MTRNR2L9	MT-RNR2 like 9			MT-RNR2-like 9 (pseudogene)	
MTRNR2L10	MT-RNR2 like 10				
MTRNR2L11	MT-RNR2 like 11			MT-RNR2-like 11 (pseudogene)	
MTRNR2L12	MT-RNR2 like 12			MT-RNR2-like 12 (pseudogene)	
MTRNR2L13	MT-RNR2 like 13			MT-RNR2-like 13 (pseudogene)	
MTRNR3	mitochondrially encoded 5S-like sequence			5S-like sequence	
MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase		cblE		
MTSS1	MTSS I-BAR domain containing 1		"KIAA0429, MIMA, MIMB, MIM"	"metastasis suppressor 1, ""MTSS1, I-BAR domain containing"""	
MTSS2	MTSS I-BAR domain containing 2	MTSS1L	"ABBA-1, LOC92154, ABBA"	"metastasis suppressor 1 like, ""MTSS1L, I-BAR domain containing"""	
MTTAS	mitochondrially encoded termination associate sequence			termination associate sequence	
MTTER	mitochondrially encoded transcription terminator			transcription terminator	
MTTFH	mitochondrially encoded transcription factor binding site H			mitochondrial transcription factor binding site	
MTTFL	mitochondrially encoded transcription factor binding site L			mitochondrial transcription factor binding site	
MTTFX	mitochondrially encoded transcription factor binding site X			mitochondrial transcription factor binding site	
MTTFY	mitochondrially encoded transcription factor binding site Y			mitochondrial transcription factor binding site	
MTTP	microsomal triglyceride transfer protein	MTP	ABL	"microsomal triglyceride transfer protein (large polypeptide, 88kD), ""microsomal triglyceride transfer protein (large polypeptide, 88kDa)"""	
MTURN	"maturin, neural progenitor differentiation regulator homolog"	C7orf41	"FLJ25903, Ells1"	"chromosome 7 open reading frame 41, ""maturin, neural progenitor differentiation regulator homolog (Xenopus)"""	
MTUS1	microtubule associated scaffold protein 1		"MTSG1, KIAA1288, DKFZp586D1519, FLJ14295, ATIP1, MP44, ATBP, ICIS, ATIP3"	"mitochondrial tumor suppressor 1, ""microtubule associated tumor suppressor 1"""	
MTUS2	microtubule associated scaffold protein 2	KIAA0774	"TIP150, CAZIP, ICIS"	"KIAA0774, ""microtubule associated tumor suppressor candidate 2"""	
MTUS2-AS1	MTUS2 antisense RNA 1			MTUS2 antisense RNA 1 (non-protein coding)	
MTUS2-AS2	MTUS2 antisense RNA 2			MTUS2 antisense RNA 2 (non-protein coding)	
MTX1	metaxin 1	MTX	MTXN		
MTX1P1	metaxin 1 pseudogene 1	"MTXP, MTX1P"		metaxin 1 pseudogene	
MTX2	metaxin 2				
MTX3	metaxin 3				
MUC1	"mucin 1, cell surface associated"	"PUM, MCKD1"	"CD227, PEM, ADMCKD, ADMCKD1, MCKD, MCD"	"mucin 1, transmembrane, ""medullary cystic kidney disease 1 (autosomal dominant)"""	
MUC2	"mucin 2, oligomeric mucus/gel-forming"			"mucin 2, intestinal/tracheal"	
MUC3A	"mucin 3A, cell surface associated"	MUC3		"mucin 3A, intestinal"	
MUC3B	"mucin 3B, cell surface associated"			mucin 3B	
MUC4	"mucin 4, cell surface associated"			"mucin 4, tracheobronchial"	
MUC5AC	"mucin 5AC, oligomeric mucus/gel-forming"		MUC5	"mucin 5, subtypes A and C, tracheobronchial/gastric"	
MUC5B	"mucin 5B, oligomeric mucus/gel-forming"	MUC5	MG1	"mucin 5, subtype B, tracheobronchial"	
MUC5B-AS1	MUC5B antisense RNA 1				
MUC6	"mucin 6, oligomeric mucus/gel-forming"			"mucin 6, gastric"	
MUC7	"mucin 7, secreted"		"FLJ27047, MG2"	"mucin 7, salivary"	
MUC8	mucin 8			"mucin 8, tracheobronchial"	
MUC12	"mucin 12, cell surface associated"	MUC11		mucin 11	
MUC13	"mucin 13, cell surface associated"	DRCC1		"down-regulated in colon cancer 1, ""mucin 13, epithelial transmembrane"""	
MUC15	"mucin 15, cell surface associated"				
MUC16	"mucin 16, cell surface associated"		"CA125, FLJ14303"		
MUC17	"mucin 17, cell surface associated"				
MUC19	"mucin 19, oligomeric"		FLJ35746		
MUC20	"mucin 20, cell surface associated"		"FLJ14408, KIAA1359"		
MUC20-OT1	MUC20 overlapping transcript				
MUC20P1	"mucin 20, cell surface associated pseudogene 1"				
MUC21	"mucin 21, cell surface associated"	C6orf205	bCX31G15.2	chromosome 6 open reading frame 205	
MUC22	mucin 22		PBMUCL1		
MUCL1	mucin like 1		SBEM		
MUCL3	mucin like 3	DPCR1	"PBLT, bCX105N19.6, C6orf37"	diffuse panbronchiolitis critical region 1	
